"Date","Time","Open","High","Low","Close","Vol","OI"
10/03/2022,16:00,19.71,21.01,19.36,20.66,223611285,0
10/04/2022,16:00,21.90,22.77,21.89,22.58,231661842,0
10/05/2022,16:00,21.67,23.00,21.01,22.58,229199463,0
10/06/2022,16:00,22.30,23.06,21.92,22.01,237543591,0
10/07/2022,16:00,20.88,20.91,19.16,19.50,250972638,0
10/10/2022,16:00,19.52,19.61,18.30,18.89,206499801,0
10/11/2022,16:00,18.52,19.14,17.74,18.14,264873490,0
10/12/2022,16:00,18.23,18.64,17.93,18.10,200741873,0
10/13/2022,16:00,16.52,19.62,16.32,19.31,414753605,0
10/14/2022,16:00,19.85,19.98,17.46,17.57,335066306,0
10/17/2022,16:00,18.81,19.50,18.80,19.30,230025403,0
10/18/2022,16:00,20.87,21.00,19.17,19.78,346276949,0
10/19/2022,16:00,19.41,20.24,19.01,19.54,259851093,0
10/20/2022,16:00,19.33,20.47,18.96,19.21,264851479,0
10/21/2022,16:00,18.98,20.69,18.73,20.57,313729020,0
10/24/2022,16:00,20.63,21.47,19.80,21.27,274621988,0
10/25/2022,16:00,21.48,22.64,21.47,22.55,238399802,0
10/26/2022,16:00,21.18,22.50,20.93,21.06,282519762,0
10/27/2022,16:00,20.79,21.12,19.77,19.90,256629412,0
10/28/2022,16:00,19.75,21.81,19.71,21.70,255388631,0
10/31/2022,16:00,21.18,21.37,20.49,20.95,209561132,0
11/01/2022,16:00,21.74,21.87,20.21,20.30,215232441,0
11/02/2022,16:00,20.28,20.98,18.18,18.20,331476264,0
11/03/2022,16:00,17.65,17.95,17.04,17.15,212231762,0
11/04/2022,16:00,18.13,18.35,16.85,17.95,382370168,0
11/07/2022,16:00,18.16,18.64,17.71,18.52,200943411,0
11/08/2022,16:00,18.85,19.62,18.09,18.92,296056310,0
11/09/2022,16:00,18.53,18.70,17.53,17.60,215569120,0
11/10/2022,16:00,20.15,21.54,19.70,21.45,328442358,0
11/11/2022,16:00,21.43,22.83,21.12,22.67,307134205,0
11/14/2022,16:00,22.17,22.96,21.82,22.07,214225934,0
